-22.72306476048236	-24.100273351343375
-22.470535597114164	-22.91216823641075
-23.605045980253237	-20.481071365146477
-24.415410539638273	-19.670705741391714
-25.549920922777304	-20.643144489897438
-27.17065004154736	-19.670705741391714
-29.115524984071428	-19.0224132423879
-30.412108279087505	-18.698266992886033
-30.898327014718532	-17.401681994878402
-31.546618662226535	-15.943023872119852
-31.70869157410354	-14.484365749361274
-33.00527486911962	-13.67400012560654
-32.60951485801613	-11.764707195734431
