-20.774260001649523	-32.2441172713019
-27.72942544528368	-36.436950896431775
-36.608357171588	-38.65668674350618
-43.26755596631623	-37.10287165055409
-50.59267464051729	-36.88089806584664
-51.480567813147715	-41.764316929410356
-45.487288897892306	-46.64773579297405
-40.381903155267324	-48.42352447063359
-32.834811187908656	-52.1970754106601
-27.063505565810857	-52.1970754106601
-21.292199943713058	-48.20155088592616
-16.852734080560893	-44.206026361192215
-13.301161390039184	-43.318132022362434
