-19.935119529131555	-32.52700987840245
-21.999083274006523	-34.38457968860351
-21.999083274006523	-36.861339435538234
-19.935119529131555	-39.54449582805088
-16.219984788356626	-42.0212555749856
-12.917642796556677	-43.87882538518666
-11.266471800656703	-45.942791840965604
-9.821697179244268	-49.03874152463405
-10.440886302706744	-51.928294562724574
-13.536831920019196	-52.13469120830246
-15.807192039381647	-53.99226101850352
-16.219984788356626	-57.08821070217194
-17.45836303528162	-59.77136709468458
